MANUFACTURER,MODEL,TYPE,WORKING LOAD LIMIT,WEIGHT,SAFETY FACTOR,DIAMETER,LENGTH INSIDE,WIDTH INSIDE
Crosby,A-342,Single,3.4,0.59,5,13,127,71.1
Crosby,A-342,Single,4,0.69,5,16,152,76.2
Crosby,A-342,Single,5.6,0.91,5,19,152,81.3
Crosby,A-342,Single,6.9,1.5,5,22,162,95.3
Crosby,A-342,Single,11.8,2.77,5,26,191,109
Crosby,A-342,Single,17.7,5.44,5,32,241,140
Crosby,A-342,Single,27.7,8.44,5,38,267,150
Crosby,A-342,Single,38.5,11.4,5,44,305,152
Crosby,A-342,Single,46.5,16.8,5,51,356,178
Crosby,A-342,Single,64.9,24.5,5,57,406,203
Crosby,A-342,Single,72.6,31.1,5,63,406,213
Crosby,A-342,Single,98.4,42.6,5,70,457,251
Crosby,A-342,Single,103,52,5,76,457,251
Crosby,A-342,Single,119,66,5,83,508,254
Crosby,A-342,Single,126,91,5,89,610,305
Crosby,A-342,Single,152,90,5,95,508,254
Crosby,A-342,Single,169,120,5,102,610,305
Crosby,A-342,Single,160,137,5,108,610,305
Crosby,A-342,Single,163,156,5,114,711,356
Crosby,A-342,Single,176,198,5,121,711,356
Crosby,A-342,Single,179,234,5,127,762,381
Green Pin,P-6810,Single,4.1,0.68,5,16,150,75
Green Pin,P-6810,Single,7,2.28,5,22,270,140
Green Pin,P-6810,Single,9.3,3.11,5,26,270,140
Green Pin,P-6810,Single,14.5,3.78,5,28,270,140
Green Pin,P-6810,Single,19.5,3,5,28,200,110
Green Pin,P-6810,Single,19,5.02,5,32,270,140
Green Pin,P-6810,Single,26,6.46,5,36,270,140
Green Pin,P-6810,Single,30.5,8.46,5,40,280,155
Green Pin,P-6810,Single,40,12.2,5,45,320,175
Green Pin,P-6810,Single,51,16.5,5,50,350,195
Green Pin,P-6810,Single,75,33,5,65,410,220
Green Pin,P-6810,Single,100,49,5,75,450,250
Green Pin,P6815,Single,131,77,5,90,460,300
Green Pin,P6815,Single,157,102,5,100,500,300
Green Pin,P6815,Single,250,172,5,115,600,400
Green Pin,P6815,Single,300,163,5,115,600,300
Green Pin,P6815,Single,400,132,5,115,490,250
